f,v
181.853,-4.86037
54.0265,0.0418872
194.378,-3.53776
188.439,3.3176
157.859,5.36818
100.978,-1.59863
171.586,-5.09771
25.7186,-8.04817
194.925,3.5631
196.682,-3.65651
199.472,3.9456
68.5308,-6.92354
54.4519,-0.150952
100.74,-1.5941
194.914,-3.56259
48.6875,7.35886
182.852,3.15714
75.1868,1.04344
111.549,1.79364
188.713,-3.3263
187.752,4.69645
182.467,4.84457
171.958,-5.0898
152.85,2.52319
106.067,-1.69378
192.767,4.52388
109.551,-6.18959
164.061,5.25047
24.2415,-8.10619
102.26,6.31198
133.932,5.78516
55.8587,-0.304217
172.972,5.06801
182.09,-4.85431
191.91,-4.55679
77.659,-1.10537
179.413,3.0699
196.735,-3.65971
67.3249,-0.821316
82.6948,6.65408
121.352,5.99395
168.701,-2.83033
70.1322,6.89177
180.723,-4.88886
31.8358,7.83153
190.289,-4.61464
178.518,-4.94247
195.395,4.40789
54.0432,0.0508126
136.063,-5.74943
164.558,-5.24076
84.821,-1.27107
83.8424,-1.24943
122.719,1.99157
157.331,-5.37794
13.2642,-8.6567
7.07572,9.16837
163.22,2.71968
16.2351,-8.47972
193.109,-3.48341
15.0988,-8.54406
66.4639,-6.96515
96.759,1.5174
159.431,-5.33891
35.1124,-7.72786
198.3,-4.22098
124.716,2.02647
192.513,4.53382
165.486,5.2225
125.105,-5.93189
175.231,-2.97166
185.522,-4.76194
198.335,-3.77663
193.073,-4.51163
174.984,-2.96608
179.327,-4.92308
102.517,1.6277
165.213,-2.75924
199.131,4.1254
105.93,-6.25015
199.173,4.11868
193.522,4.49318
118.114,-6.04749
193.944,4.47521
88.3137,1.34626
90.6233,-1.39441
98.3219,1.54777
199.481,-3.94944
172.478,5.07867
127.037,5.89989
199.46,3.94129
7.96484,-9.07593
198.585,3.80095
64.1252,-0.713888
198.491,-4.20296
169.089,5.14987
198.177,-4.23187
198.466,4.20541
198.173,4.23217
163.909,2.73326
197.98,-4.24831
140.338,-5.67721
94.467,1.47221
173.762,-5.0508
181.497,3.12195
145.031,-5.59683
191.006,-4.5897
61.6984,-7.06387
196.315,3.63507
196.493,-4.34882
142.685,5.63717
1.69545,-10.1759
114.187,-6.11251
36.7184,7.67956
54.1968,0.100847
199.535,-4.00906
76.8403,6.76252
162.716,2.70977
140.708,-2.30561
71.1903,-0.93625
175.796,2.98453
67.7431,-0.834423
198.496,4.20251
163.582,-2.72682
126.926,-2.06501
198.022,-3.74951
169.173,-5.14816
185.207,-4.77079
52.2215,7.27436
181.269,-4.87521
164.401,5.24383
194.12,-4.46755
181.242,3.11546
89.9547,6.52407
120.063,-1.94498
117.055,-1.8919
69.7047,-0.89362
164.284,5.24612
198.738,-4.17702
110.798,-1.78009
119.118,-1.92833
194.401,-4.45502
198.677,3.81076
109.692,6.18723
191.171,-3.40946
187.316,3.28288
199.531,-3.98029
95.3409,-1.48954
160.227,5.32395
134.166,-2.19111
199.502,3.95893
155.484,-5.4118
62.4607,7.0478
180.652,3.10057
194.165,4.46555
191.26,4.58064
196.161,3.62643
190.061,-4.6224
73.0884,-0.98839
124.84,-5.93627
196.041,4.37421
75.322,6.79127
148.537,-2.44479
69.0724,0.874926
50.4341,-7.31663
173.133,2.92488
136.428,-5.7433
88.3096,1.34618
198.231,-4.22715
142.834,5.63462
142.579,-2.33859
195.594,-4.39781
33.8126,-7.76812
130.373,-2.12504
164.28,5.2462
141.572,-5.65619
198.111,-3.75686
55.5457,0.277486
124.499,5.94191
103.998,-1.65542
168.671,-5.15845
134.364,5.77792
144.461,-2.37192
124.051,-2.01485
76.6403,-6.76629
56.4406,0.348576
197.88,-4.25629
151.841,-2.5047
148.556,2.44515
181.926,4.85851
199.208,-4.11272
99.0924,-1.56261
155.52,5.41114
166.774,2.79073
191.722,-3.42957
93.2364,-6.46663
58.9547,7.12269
165.792,-2.77085
